"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"101069428";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f083d720&appId=PPGMS";"8d51c519d53451909480b5af92e356ab";"en";"";"";"projectDeliverable";"";""
"101069428";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f09bde52&appId=PPGMS";"f7919f9b7d1049ba457abc34aa1405fe";"en";"";"";"projectDeliverable";"";""
"101069428";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ee43d883&appId=PPGMS";"d6c769b41dda2102b3ce37f6ed230814";"en";"";"";"projectDeliverable";"";""
"101069428";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e839ab6e&appId=PPGMS";"d34a840c740aef3aa70569df2e371d7c";"en";"";"";"projectDeliverable";"";""
"101069428";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e9038744&appId=PPGMS";"dc5af39509a150bc886e881bd1ef0151";"en";"";"";"projectDeliverable";"";""
"101057769";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ed3cb0c0&appId=PPGMS";"e6e7e65ad687f8c4a445110525852de4";"en";"";"";"projectDeliverable";"";""
"101051223";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e679f9d2&appId=PPGMS";"315fd63a4e742b3eb7cbd72fb180eb6e";"en";"";"";"projectDeliverable";"";""
"101051223";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e5eff39e&appId=PPGMS";"ac6878c27c7d0cbdb4cba1cee47aafcc";"en";"";"";"projectDeliverable";"";""
"101051223";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e4ee429b&appId=PPGMS";"a6ac014d032d2bf522500d701420c2ae";"en";"";"";"projectDeliverable";"";""
"101051223";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e334906d&appId=PPGMS";"c0e68639b493fedef8df509d23ed3b2b";"en";"";"";"projectDeliverable";"";""
"101054755";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e74b2c99&appId=PPGMS";"3d1448c2c72aa5d9d2b375592a8916ee";"en";"";"";"projectDeliverable";"";""
"101054755";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e9ba1336&appId=PPGMS";"6d5ed8ade0e1a64f9435d5945ab71a1d";"en";"";"";"projectDeliverable";"";""
"101054755";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e6ca2f01&appId=PPGMS";"08d7afa607e3906d9348b67bd1d656ab";"en";"";"";"projectDeliverable";"";""
"101054755";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e644e17c&appId=PPGMS";"b3bf025af06a35abce56a636327f386a";"en";"";"";"projectDeliverable";"";""
"101054755";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e6ca2a20&appId=PPGMS";"ebc6cdeb61d3893d5f85c7b52402102d";"en";"";"";"projectDeliverable";"";""
"101054755";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e644c1b2&appId=PPGMS";"dacfb70616ffc7a25f57458ce9d6debc";"en";"";"";"projectDeliverable";"";""
"101054755";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e6ca408f&appId=PPGMS";"4419f5788317d0fd69daaeceea94abae";"en";"";"";"projectDeliverable";"";""
"101070847";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f0c7ee7d&appId=PPGMS";"e865b39f93e06b060213542184aa276c";"en";"";"";"projectDeliverable";"";""
"101070737";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f0afb9e6&appId=PPGMS";"19a0479b5ebdb84cde0c94f1a02eba63";"en";"";"";"projectDeliverable";"";""
"101070737";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f0afa0cf&appId=PPGMS";"d14a64b6650100bd62e00b1a241474d4";"en";"";"";"projectDeliverable";"";""
"101070737";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f0a75166&appId=PPGMS";"6fd380fa5fe8b0e1edebbdfbfd6cee61";"en";"";"";"projectDeliverable";"";""
"101070737";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f0afb519&appId=PPGMS";"79f0e6b27ddd9514a400e783225fa0c2";"en";"";"";"projectDeliverable";"";""
"101046182";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e79030c6&appId=PPGMS";"913aae7f876b7f06d7c67629f0903111";"en";"";"";"projectDeliverable";"";""
