"projectID";"topic";"title"
"101058692";"HORIZON-CL4-2021-TWIN-TRANSITION-01-22";"Adjustment of Steel process production to prepare for the transition towards climate neutrality (Clean Steel Partnership) (IA)"
"101063966";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101067194";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101069091";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101062455";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101058636";"HORIZON-CL4-2021-RESILIENCE-01-10";"Paving the way to an increased share of recycled plastics in added value products (RIA)"
"101079482";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101065171";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101068547";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101065794";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101058728";"HORIZON-WIDERA-2021-ERA-01-40";"Modelling and quantifying the impacts of open science practice"
"101046504";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101064524";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101072779";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101046424";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101079148";"HORIZON-INFRA-2021-DEV-02-02";"Consolidation of the research infrastructure landscape – Individual support for ESFRI projects"
"101065389";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101059547";"HORIZON-CL6-2021-CLIMATE-01-03";"Key oceanic and polar processes driving regional & global climate change"
"101058100";"HORIZON-CL4-2021-RESILIENCE-01-14";"Development of more energy efficient electrically heated catalytic reactors (IA)"
"101078960";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101066495";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101064765";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101081193";"HORIZON-CL5-2022-D1-02-02";"Development of high-resolution Earth system models for global and regional climate change projections"
"101066172";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101059877";"HORIZON-CL6-2021-BIODIV-01-04";"Assess and predict integrated impacts of cumulative direct and indirect stressors on coastal and marine biodiversity, ecosystems and their services"
"101072625";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101072537";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101070290";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-14";"Advanced spintronics: Unleashing spin in the next generation ICs (RIA)"
"101059915";"HORIZON-CL6-2021-BIODIV-01-03";"Understanding and valuing coastal and marine biodiversity and ecosystems services"
